,residents,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,ssn,firstName,middleName,lastName,city,street,apartment,birthdate,contactNumber,gender
"Beirut
Residents",3111203764,Mohammad ,Youssef,Azzam,Beirut,Ain Al Mraiseh,7,1996-02-12,81876037,M
,3110017318,Dima,Ahmad,Al Hasan,Beirut,Ain Al Mraiseh,9,2000-04-01,81934489,F
,3110013541,Tarek,Anas,Rahbani,Beirut,Ain Al Mraiseh,15,2016-08-15,70158123,M
,3120126981,Ibrahim,Hasan,Itani,Beirut,Hamra,93,1999-11-12,71124086,M
,3120965367,Rana,Jamil,Harb,Beirut,Hamra,41,1934-05-26,78957216,F
,3121678247,William,Georges,Saliba,Beirut,Hamra,29,1983-09-18,81158610,M
"Zahle
Residents",4710011982,Mona,Suleiman,Khalil,Zahle,Maalaka ,19,1998-12-29,78672445,F
,4710112436,Andrew,Youssef,Saliba,Zahle,Maalaka ,5,1986-11-04,81876255,M
,4710076974,Tony,Issa,Takomijian,Zahle,Maalaka ,20,2004-05-31,03555558,M
,4720182689,Ayman,Jad,Maadaranni,Zahle,Wadi Al Arayech,18,2002-10-19,03124865,M
,4720082391,Mansour,Elias,Farah,Zahle,Wadi Al Arayech,14,2000-01-01,03157914,M
,4720105890,Fatima,Mahmoud,Wehbi,Zahle,Wadi Al Arayech,74,1971-03-26,71195614,F
"Tripoli
Residents",7310106362,Ghada,Mostafa,Asaad,Tripoli,Bohssas,12,1994-06-03,78194760,F
,7310481702,Ahmad,Salim,Othman,Tripoli,Bohssas,51,1978-05-25,81175691,M
,7310812657,Mariam,Saleh,Shaaban,Tripoli,Bohssas,34,1949-02-18,81981765,F
,7320219183,Ibrahim,Hamed,Barakat,Tripoli,Mina,26,1998-12-29,71197256,M
,7320219348,Tony,Melhem,Rizk,Tripoli,Mina,19,2001-10-19,70124978,M
,7310613751,Huda,Sami,Othman,Tripoli,Mina,62,2009-09-18,70192475,F
"Tyre
Residents",8610130638,George,Toufik ,Boustany,Tyre,Abbasiyye,14,1987-08-15,03944834,M
,8610101238,Ali ,Mahmoud,Habash,Tyre,Abbasiyye,11,1999-01-09,70927842,F
,8610008641,Rama,Ali,Zaiter,Tyre,Abbasiyye,15,1945-05-26,70124961,F
,8620099173,Hadi,Yahya,Taleb,Tyre,Borj El Chamali,67,1968-08-09,71197451,M
,8610012387,Sara,Hasan,Shamas,Tyre,Borj El Chamali,47,2006-11-16,81917541,F
,8610012865,Rami,Saed,Al Sayyed,Tyre,Borj El Chamali,94,1993-10-15,03715841,M
